[Lenovo System Update build: 2021-03-31 2.0.0.1]	28/07/2021 00:45:50

Info	2021-07-28 , 12:45:50.358
	at Tvsu.Engine.UpateTaskListDataBase.get_Instance()
	Message: InitUpdateTaskListDataBase from file: C:\ProgramData\Lenovo\ImController\SystemPluginData\LenovoSystemUpdatePlugin\session\UpdateTaskList.xml

Info	2021-07-28 , 12:45:50.781
	at Tvsu.Environment.EnvironmentManager..ctor()
	Message: Starting Environment Manager...

Info	2021-07-28 , 12:45:50.783
	at Tvsu.Environment.EnvironmentManager..ctor()
	Message: Starting Environment Manager...

Info	2021-07-28 , 12:45:51.050
	at Tvsu.Environment.EnvironmentManager..ctor()
	Message: Starting Environment Manager...

Info	2021-07-28 , 12:45:51.083
	at Tvsu.Environment.EnvironmentManager..ctor()
	Message: Starting Environment Manager...

Info	2021-07-28 , 12:45:51.111
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile isn't exist , ScheduleTask isn't exist ,Random create ScheduleTask  and ScheduleFile

Info	2021-07-28 , 12:45:51.112
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.NeedChangeSchedulerTime(Int32& modifiedHourStart, Int32& modifiedHourEnd, Boolean& addDay)
	Message: Get windows active hour setting. Between 8 and 17

Info	2021-07-28 , 12:45:51.112
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: Compared with Windows active hour setting. Need to skip current schedule task and reset schedule task time, new time between 17 and 23, change day is False

Info	2021-07-28 , 12:45:51.112
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: ConfigScheduledTask Execute start

Info	2021-07-28 , 12:45:51.112
	at ConfigScheduledTask.ConfigScheduledTask.CreateWeeklyScheduleTask(String time, String date, String enabled)
	Message: Begin schtask, arg: /delete /tn "Lenovo\ImController\Plugins\LenovoSystemUpdatePlugin_WeeklyTask" /f

Info	2021-07-28 , 12:45:51.195
	at ConfigScheduledTask.ConfigScheduledTask.CreateWeeklyScheduleTask(String time, String date, String enabled)
	Message: End schtask.

Info	2021-07-28 , 12:45:51.200
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile isn't exist , ScheduleTask isn't exist ,Random create ScheduleTask  and ScheduleFile

Info	2021-07-28 , 12:45:51.200
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.NeedChangeSchedulerTime(Int32& modifiedHourStart, Int32& modifiedHourEnd, Boolean& addDay)
	Message: Get windows active hour setting. Between 8 and 17

Info	2021-07-28 , 12:45:51.200
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: Compared with Windows active hour setting. Need to skip current schedule task and reset schedule task time, new time between 17 and 23, change day is False

Info	2021-07-28 , 12:45:51.200
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: ConfigScheduledTask Execute start

Info	2021-07-28 , 12:45:51.200
	at ConfigScheduledTask.ConfigScheduledTask.CreateWeeklyScheduleTask(String time, String date, String enabled)
	Message: Begin schtask, arg: /delete /tn "Lenovo\ImController\Plugins\LenovoSystemUpdatePlugin_WeeklyTask" /f

Info	2021-07-28 , 12:45:51.268
	at ConfigScheduledTask.ConfigScheduledTask.CreateWeeklyScheduleTask(String time, String date, String enabled)
	Message: End schtask.

Info	2021-07-28 , 12:45:51.268
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Begin schtask, arg: /Create /TN "Lenovo\ImController\Plugins\LenovoSystemUpdatePlugin_WeeklyTask" /XML "C:\ProgramData\Lenovo\ImController\SystemPluginData\LenovoSystemUpdatePlugin\session\TVSUUpdateTask_Weekly.xml" /F

Info	2021-07-28 , 12:45:51.283
