[Lenovo System Update build: 2021-03-31 2.0.0.1]	28/07/2021 01:00:44

Info	2021-07-28 , 01:00:44.058
	at Tvsu.Engine.UpateTaskListDataBase.get_Instance()
	Message: InitUpdateTaskListDataBase from file: C:\ProgramData\Lenovo\ImController\SystemPluginData\LenovoSystemUpdatePlugin\session\UpdateTaskList.xml

Info	2021-07-28 , 01:00:44.532
	at Tvsu.Environment.EnvironmentManager..ctor()
	Message: Starting Environment Manager...

Info	2021-07-28 , 01:00:44.595
	at Tvsu.Egather.EgatherManager.GetEgatherParser(String type)
	Message: Running egather complete.....

Info	2021-07-28 , 01:00:48.528
	at Tvsu.Gur.GUR2.EvaluateDetectInstall()
	Message: Evaluating rule

Info	2021-07-28 , 01:00:48.564
	at Tvsu.Gur.EgatherDetectionMethods.EvalDriverVersionByHardwareIDByVersion(String[] hardwareId, String pattern, String date, Boolean& isInboxDriver)
	Message: HardwareId Value to Evaluate: System.String[], Validation xmlversion: 1.0.2.0^, getVersion: 1.0.4.6, Validation xmldate: 2020-05-19, getdate: 20210222, Result: True

Info	2021-07-28 , 01:00:48.564
	at Tvsu.Gur.RuleEvaluator.EvaluateDetectionMethod(IRule rule, Boolean isForSeverityOverride, Boolean& isInboxDriver)
	Message: Detection method evaluated: _Driver Result-> True

Info	2021-07-28 , 01:00:48.564
	at Tvsu.Gur.GUR2.EvaluateDetectInstall()
	Message: Rule result: True

Info	2021-07-28 , 01:00:48.564
	at Tvsu.Engine.UpateTaskListDataBase.get_Instance()
	Message: start to CheckAndNotify! CheckNotifyFlag is true

Info	2021-07-28 , 01:00:48.647
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile is exist , ScheduleTask is exist ,Use ScheduleTask  create ScheduleFile

Info	2021-07-28 , 01:00:48.647
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile is exist , ScheduleTask is exist ,Use ScheduleTask  create ScheduleFile

Info	2021-07-28 , 01:00:48.647
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile is exist , ScheduleTask is exist ,Use ScheduleTask  create ScheduleFile

Info	2021-07-28 , 01:00:48.647
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.UpdateADPolicySettings()
	Message: ScheduleFile is exist , ScheduleTask is exist ,Use ScheduleTask  create ScheduleFile

Info	2021-07-28 , 01:00:48.652
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Task ScheduleInfo info: DayOfWeekSch Thursday, DayOfMonthSch , UTCTimeToCheck 18:45:51, SchedulerAbility OFF

Info	2021-07-28 , 01:00:48.653
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Task ScheduleInfo info: DayOfWeekSch Thursday, DayOfMonthSch , UTCTimeToCheck 18:45:51, SchedulerAbility OFF

Info	2021-07-28 , 01:00:48.654
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Task ScheduleInfo info: DayOfWeekSch Thursday, DayOfMonthSch , UTCTimeToCheck 18:45:51, SchedulerAbility OFF

Info	2021-07-28 , 01:00:48.654
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Task ScheduleInfo info: DayOfWeekSch Thursday, DayOfMonthSch , UTCTimeToCheck 18:45:51, SchedulerAbility OFF

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Settings in UpdateSchedule.xml is same with task, not need to update

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Settings in UpdateSchedule.xml is same with task, not need to update

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Settings in UpdateSchedule.xml is same with task, not need to update

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Settings in UpdateSchedule.xml is same with task, not need to update

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Request ScheduleInfo info: Frequency , PackageType , DayOfWeek , DayOfMonth , UTCTimeToCheck , SchedulerAbility , RecommendedAutoUpdates , Notify 

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: UpdateSchedule.xml ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdatesOFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Combine ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdates OFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Request ScheduleInfo info: Frequency , PackageType , DayOfWeek , DayOfMonth , UTCTimeToCheck , SchedulerAbility , RecommendedAutoUpdates , Notify 

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: UpdateSchedule.xml ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdatesOFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Combine ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdates OFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Request ScheduleInfo info: Frequency , PackageType , DayOfWeek , DayOfMonth , UTCTimeToCheck , SchedulerAbility , RecommendedAutoUpdates , Notify 

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: UpdateSchedule.xml ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdatesOFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Combine ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdates OFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Request ScheduleInfo info: Frequency , PackageType , DayOfWeek , DayOfMonth , UTCTimeToCheck , SchedulerAbility , RecommendedAutoUpdates , Notify 

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: UpdateSchedule.xml ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdatesOFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.671
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder..ctor()
	Message: Combine ScheduleInfo info: Frequency Weekly, PackageType Critical, DayOfWeek Thursday, DayOfMonth , UTCTimeToCheck 18:45:51, SchedulerAbility OFF, RecommendedAutoUpdates OFF, Notify DownloadAndInstallIfNoReboot

Info	2021-07-28 , 01:00:48.798
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.SystemUpdate_GetUpdateSchedule()
	Message: ScheduleFile is exist , ScheduleTask is exist ,Use ScheduleTask  create ScheduleFile

Info	2021-07-28 , 01:00:48.798
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.RequestResponder.Get_MostRecentUpdateInfo()
	Message: Get MostRecentUpdateInfo list...

Info	2021-07-28 , 01:00:48.798
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Task ScheduleInfo info: DayOfWeekSch Thursday, DayOfMonthSch , UTCTimeToCheck 18:45:51, SchedulerAbility OFF

Info	2021-07-28 , 01:00:48.798
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.GetMostRecentUpdateInfo()
	Message: get checkUpdateFile from file: checkUpdateFile.ser

Info	2021-07-28 , 01:00:48.798
	at Lenovo.Modern.Plugins.SystemUpdatePlugin.SystemUpdateAgent.CreateSchedule()
	Message: Settings in UpdateSchedule.xml is same with task, not need to update

Severe	2021-07-28 , 01:00:48.798
	at Tvsu.Sdk.SuSdk.get_Instance()
	Message: Application runs with the framework: 4.0.30319.42000

Info	2021-07-28 , 01:00:48.798
	at Tvsu.Engine.DataBase.get_Instance()
	Message: Initializing the DataBase from file: updates.ser

Severe	2021-07-28 , 01:00:48.820
	at Tvsu.Engine.DataBase.LoadSerializedDataBase(FileStream file)
